('11.08', 'KAB. ACEH UTARA'),
('Seunuddon', 'Ulee Rubek Timu'),
('Seunuddon', 'Bantayan'),
('Seunuddon', 'Teupin Kuyuen'),
('Seunuddon', 'Matang Lada'),
('Seunuddon', 'Ulee Matang'),
('Seunuddon', 'Matang Karieng'),
('Seunuddon', 'Lhok Rambideng'),
('Seunuddon', 'Matang Anoe'),
('Seunuddon', 'Lhok Geulituet'),
('Seunuddon', 'Ulee Titi'),

('Syamtalira Aron', 'Keude Aron'),
('Syamtalira Aron', 'Dayah Aron'),
('Syamtalira Aron', 'Moncrang'),
('Syamtalira Aron', 'Kanot'),
('Syamtalira Aron', 'Meuria Aron'),
('Syamtalira Aron', 'Mee Aron'),
('Syamtalira Aron', 'Glok'),
('Syamtalira Aron', 'Cibrek Baroh'),
('Syamtalira Aron', 'Cibrek Tunong'),
('Syamtalira Aron', 'Matang Munye'),
('Syamtalira Aron', 'Pante'),
('Syamtalira Aron', 'Keutapang'),
('Syamtalira Aron', 'Blang'),
('Syamtalira Aron', 'Teungoh'),
('Syamtalira Aron', 'Tanjong Krueng Pase'),
('Syamtalira Aron', 'Mesjid'),
('Syamtalira Aron', 'Keude Teupin Punti'),
('Syamtalira Aron', 'Kumbang'),
('Syamtalira Aron', 'Gampong U'),
('Syamtalira Aron', 'Calong'),
('Syamtalira Aron', 'Manyang Baroh'),
('Syamtalira Aron', 'Peurupok'),
('Syamtalira Aron', 'Alue Gunto'),
('Syamtalira Aron', 'Pulo'),
('Syamtalira Aron', 'Kulam'),
('Syamtalira Aron', 'Ampeh'),
('Syamtalira Aron', 'Dayah Meuria'),
('Syamtalira Aron', 'Mampree'),
('Syamtalira Aron', 'Meucat'),
('Syamtalira Aron', 'Ara'),
('Syamtalira Aron', 'Hagu'),
('Syamtalira Aron', 'Awe'),
('Syamtalira Aron', 'Tanjong Mulieng'),
('Syamtalira Aron', 'Daya Teungku'),

('11.08.11', 'Syamtalira Bayu'),
('Syamtalira Bayu', 'Bale'),
('Syamtalira Bayu', 'Bie'),
('Syamtalira Bayu', 'Beurandang'),
('Syamtalira Bayu', 'Baro Kulam Gajah'),
('Syamtalira Bayu', 'Glong'),
('Syamtalira Bayu', 'Nibong'),
('Syamtalira Bayu', 'Langa'),
('Syamtalira Bayu', 'Beunot'),
('Syamtalira Bayu', 'Keude Bayu'),
('Syamtalira Bayu', 'Blang Bayu'),
('Syamtalira Bayu', 'Dayah Tuha'),
('Syamtalira Bayu', 'Dayah Baro'),
('Syamtalira Bayu', 'Lancok'),
('Syamtalira Bayu', 'Punti'),
('Syamtalira Bayu', 'Bungong'),
('Syamtalira Bayu', 'Baroh Blang Rimueng'),
('Syamtalira Bayu', 'Ulee Meuria'),
('Syamtalira Bayu', 'Kayee Panyang'),
('Syamtalira Bayu', 'Rheng'),
('Syamtalira Bayu', 'Trieng Meudurou'),
('Syamtalira Bayu', 'Ulee Gampong'),
('Syamtalira Bayu', 'Garut'),
('Syamtalira Bayu', 'Blang Awe'),
('Syamtalira Bayu', 'Pulo Blang Mangat'),
('Syamtalira Bayu', 'Cibrek'),
